Id,Episode,Apologizer,Apologee,Apologizer_Gender,Apologee_Gender,Older,More_Power,Response,Text
1,S01E01,Nate,Ted,Man,Man,Apologee,Apologee,Dismiss,"NATHAN On the diagonal. My apologies, Ted. We should have ordered you a car. Oh, no. That's okay. Night, y'all. "
2,S01E05,Roy,Keeley,Man,Woman,Apologizer,Apologizer,Anger,"I'm not with him. We broke up. We're working together, actually. And who asked you anyway, huh? Right. I didn't know that, so... apologies. No, it's fine. You should definitely weigh in on my life. I'll make sure that I text you anytime I have to make a decision, yeah? "
3,S01E07,Ted,Nate,Man,Man,Apologizer,Apologizer,Thanks,"Nate, can I speak with you, please? Yeah. You all right? I wanted to apologize for last night. I bit your head off for no good reason, and I'm really sorry about that and I hope you can forgive me. Yeah, of cour... Yes, of course. "
4,S01E08,Roy,Keeley,Man,Woman,Apologizer,Apologizer,Thanks,"Anyway, the point is, I'm trying to do this differently. I should have told you that. I apologize. And I am trying to be more honest. Thank you. Okay, then. "
5,S01E09,Rebecca,Higgins,Woman,Man,Apologee,Apologizer,Thanks,"I know. But that's not actually why I'm here. I wanted to apologize to you for... treating you so poorly and forcing you to be an accomplice in my moronically childish scheme. I am truly sorry, Higgins. ( Exhales ) Wow. Uh... Thank... Thank you, Rebecca. "
6,S02E01,Ted,Dani,Man,Man,Apologizer,Apologizer,Dismiss,"No, Dani. I think you're thinking about The Last Samurai. He's got a little, tiny ponytail in Magnolia too, Coach. Oh, thank you, Coach. My apologies, Dani. Tom Cruise was rocking a little, tiny ponytail in both those films. "
7,S02E03,Jamie,Bumbercatch,Man,Man,Apologee,Apologizer,Anger,"I apologize for that, Bumbercatch. Uh, please tell your father I'm sorry. Um, and give Janet me best, yeah? "
8,S02E06,Higgins,Beard,Man,Man,Apologizer,Apologee,Accept,"( Sighs ) Look, let me ask you one question. You're a great man. Does Jane make you greater? ( Coach beard grumbles ) Okay, look, I-I-I apologize. ( Grunts ) HIGGINS Okay, okay. That... COACH BEARD I hear you. I get it. "
9,S02E07,Nate,Colin,Man,Man,Apologizer,Apologizer,Accept,"I just wanted, before we started, just to, um... Well, basically, I just wanted to make an apology. Uh, Colin, um, yesterday I was a bit of a, uh, you know, uh... Asshole? Prick? Cock? Wounded butterfly. Yes. I was a cocky, prickish, wounded butterfly's asshole, um... But I... I really am sorry, and it... it won't happen again, so... It's all good, boyo. Oh, all right then. ( Chuckles ) ALL Aw. That's good. All right"
10,S02E11,Ted,Higgins,Man,Group,Apologee,Apologizer,Dismiss,Who is Edwin Akufo? His father owns the largest tech firm in Ghana. Wait a second. I thought I did. Until he died last month. I apologize for my joke. 
11,S01E01,Keeley,Ted,Woman,Man,Apologee,Apologee,Accept,") What you doing in there? ( Groans ) Oh, sh1t. I'm sorry. Are you all right? Yeah, no, I'm fine. I'm fine. "
12,S01E04,Rebecca,Keeley,Woman,Woman,Apologizer,Apologizer,Accept,"Have you ever dated a footballer? ( Chuckles ) What? Sorry. I shouldn't laugh. It sounds... judgy. No, it's okay. You are a bit judgy. "
13,S01E04,Keeley,Roy,Woman,Man,Apologee,Apologee,Thanks,"Hey, do me a favor. Don't use me as a prop in your little fights. Made me feel like an idiot. I'm sorry. I... I shouldn't have done that. Thanks. "
14,S01E05,Higgins,Higgins' wife,Man,Woman,Apologizer,Apologizer,Accept,"Ooh. ( Exhales ) I'm sorry about this. Don't you dare apologize. Thanks to you, we can afford to get the other car fixed. "
15,S01E05,Roy,Keeley,Man,Woman,Apologizer,Apologizer,Accept,"Oh! Hey. Did I scare you? You snuck up on a woman in a parking lot at night. ( Chuckles ) Yeah, Roy, well done. ( Chuckles ) I'm sorry. I'm an idiot. I was also an idiot yesterday, so... It's okay. Good night, Keeley. Good night, Roy. "
16,S01E06,Ted,Diamond Dogs,Man,Man,Apologizer,Apologizer,Dismiss,"( Pop music playing ) TED Oh, boy. Morning, fellas. Sorry I'm late. You know, just needed to clear my head so I decided to, you know, walk to work."
17,S01E06,Nate,Diamond Dogs,Man,Man,Apologee,Apologee,Dismiss,"You know, 'cause once Jamie sees someone else playing his position, you know... I mean, it's gonna hurt his soul. ( Laughs ) I'm so sorry. I shouldn't be happy about that."
18,S01E06,Ted,Team,Man,Man,Apologizer,Apologizer,Anger,"Hey, no, fellas. No, it was not, okay? It was. I'm sorry, I'm lying to ya. I don't even know why I'm lying. I'm sorry. I just wanted y'all to take a breath for a second. "
19,S01E06,Ted,Rebecca,Man,Woman,Apologee,Apologee,Anger,"I thought that was what you wanted. Yeah, well, you thought wrong! I'm sorry. I'm sorry for my tone there, okay. That was rude. Look, I'm trying to be cool about this, but I am just seeing red everywhere. Well, perhaps you should leave before you say something you'll regret."
20,S01E07,Ted,Zorreaux,Man,Man,Apologizer,Apologizer,Dismiss,"Give it up for Zorro. Oh. It's pronounced, um, ""Zoreaux"". I'm sorry. Zorro. ""Zoreaux""."
21,S01E07,Rebecca,Sassy,Woman,Woman,Apologizer,Apologizer,Thanks,"Mate, I'm so sorry. I'm sorry for disappearing from you, from Nora. I really am. Thank you for saying that. Mm. ( Sighs )"
22,S01E08,Keeley,Roy,Woman,Man,Apologee,Apologee,Dismiss,"So you f*cked him to get back at me for something I didn't even know I did. ( Scoffs ) No. I... No. No. Yes. Yup. That's exactly what I did. ( Grunts softly ) I f*cked up, Roy. I'm really sorry. But I need you to be okay with this. ( Grunts )"
23,S01E08,Higgins,Rebecca,Man,Woman,Apologizer,Apologee,Dismiss,"You had every opportunity to do the right thing and you never did. f*cking pussy. You're right. I... I deserve to carry that around. Um, I do. I should've been braver, and I'm... I'm sorry for that. I am. But I'm saying this to you now. Stop it. Or what? I quit."
24,S01E09,Nate,"Rebeccca, Keeley",Man,Woman,Apologee,Apologee,Dismiss,"Um, wow. I know women like shoes, but, girls, come on, this is silly. ( Chuckles ) Sorry, that was really sexist. Um, I just wasn't expecting there to be anyone in here. Um, but you are in here, and that's great. Take as long as you need. Yeah. I'll go. Sorry. "
25,S01E09,Rebecca,Ted,Woman,Man,Apologizer,Apologizer,Forgive,"And I didn't care who I used or who I hurt. All you good people just trying to make a difference. ( Crying ) Ted, I'm so sorry. Mm. If you want to quit or call the press, I'll completely understand. I forgive you. You... What? Why? Divorce is hard. "
26,S01E09,Roy,Ted,Man,Man,Apologee,Apologee,Dismiss,"Look, I'm sorry I told you to go f*ck yourself. Eh, la-di-da. I'm usually better at hiding my anger. You think so, huh? "
27,S01E09,Nate,Ted,Man,Man,Apologee,Apologee,Accept,"I know now's not the best time, Coach, but I have been feeling physically sick since walking away from you the other day. Plus last night, I had a horrible nightmare that I was pecking you to death like a crow. I'm so sorry. It's okay, Nate. We're all good in the hood, all right?"
28,S01E10,Nate,Ted,Man,Man,Apologee,Apologee,Dismiss,"For the love of Meghan Markle, do not blow that whistle again, Nate. I swear. Sorry. I got neighbors upstairs, and they will just start stomping away. Okay?"
29,S01E10,Ted,Rebecca,Man,Woman,Apologee,Apologee,Dismiss,"( Sputters, groans ) The bubbles. ( Coughs ) I'm sorry. Did I get you?"
