ep,sadness,joy,fear,disgust,anger,details
S01E01,0.090024,0.568044,0.051379,0.059812,0.051009,"Recently divorced Rebecca Welton is the new owner of AFC Richmond, a struggling team in the Premier League. To seek revenge on her ex-husband who cheated on her multiple times and was never blamed for it, Rebecca resolves to hire the most incompetent coach she can find to ruin the club, as it was the only thing her ex ever loved. To this end she hires Ted Lasso, a college football coach from Kansas City. Ted has recently coached an NCAA Division II football team to a title, but knows nothing about soccer. Arriving in Richmond with his assistant, Coach Beard, he tries to connect with his new compatriots with his positive, folksy charm, but the team hates him anyway. He is thought of as a rube, but it soon becomes clear he is smarter than he looks. In his apartment at night, he speaks to his son and wife on the phone and hints that he took the job because his wife had wanted ""space""."
S01E02,0.540917,0.522407,0.102927,0.057657,0.092651,"On his first day at AFC Richmond, Ted attempts to win over the players and management. He brings Rebecca shortbread as a present; she rebuffs his attempt at friendliness but becomes obsessed with the biscuits. He quickly sees the team has a division in the locker room: Roy Kent, an aging star, is constantly angry and at odds with Jamie Tartt, a young egotistical talent. Seeing that another player, Sam Obisanya, is homesick for Nigeria, Ted throws him a birthday party even though the team had lost a game earlier in the day. Trying to win over Jamie, Ted seeks advice from Keeley, Jamie's model girlfriend. She advises praise, which Ted does. In an attempt to cause more problems for the team, Rebecca has a tabloid photograph of Lasso and Keeley seemingly being intimate with each other, with the intent of enraging Jamie. It is revealed that Ted bakes the biscuits he gives Rebecca himself."
S01E03,0.586553,0.55936,0.088731,0.058687,0.094957,"Knowing that tabloid newspaper The Sun has photographs of them, Ted and Keeley go to Rebecca. She has their publication stopped, fearful they will be traced back to her, but in exchange, Ted has to spend the day with Trent Crimm, a tough reporter for The Independent. Crimm arrives skeptical. He finds out Ted's new plays were conceived by Nate, the kit man. When Crimm asks him about the appropriateness of throwing Sam's birthday party after the previous week's loss, Ted tells him he's not concerned with wins and losses. Ted, Crimm, and Roy go to a local school event and win over the children. Roy reluctantly but assertively confronts Jamie and a few other players who have been bullying Nate. Ted invites Crimm to dinner, at a restaurant owned by the driver who picked him up at the airport. Ted, never having had Indian food before, gets very spicy food but eats it all to be polite. Crimm's write-up about the ""Lasso Way"" is positive, enraging Rebecca."
S01E04,0.56415,0.570765,0.076463,0.073772,0.116297,"The team loses again, prompting Roy and Jamie to fight even more. Rebecca, whilst preparing for the annual charity ball, learns that Robbie Williams canceled on her unexpectedly, so she relies on Higgins to find another musical act. Roy and Jamie constantly feud, provoking Keeley to become mad. Rupert, Rebecca's ex-husband, arrives and runs the auction. Ted, who's trying to control Roy and Jamie's arguments, deduces that Rupert was the one responsible for Robbie Williams canceling in order to embarrass Rebecca. Rebecca later bonds with Keeley, and she convinces Keeley to break up with Jamie. Roy and Jamie make up and resolve not to fight anymore. Rebecca, enraged at Rupert's sudden appearance (and the fact that he donated one million pounds to the charity event to seem better than her) gets drunk with Keeley, and the two ride in a rickshaw. Ted helps Higgins find an unknown street performer to replace the previous musician, and he is met with great reception."
S01E05,0.473817,0.622371,0.086921,0.049836,0.071702,"Ted's wife, Michelle, and son, Henry, finally arrive, and they have fun together as a family until Ted finds his wife in tears. She confides in him that though she desperately wishes otherwise, her feelings for him and their relationship have changed. She promises to keep trying regardless. Keeley attends a promotion shoot she had organized for Jamie. Rebecca and Roy both seem concerned that Keeley is wasting her time with Jamie, but Keeley reassures them that her relationship with Jamie is over. On the field, Jamie continues to refuse to pass to his teammates and scores goals alone, leading fans and commentators to believe that AFC Richmond is solely reliant on Jamie. Ted sees how bad this is for the team's morale and benches Jamie right before half-time. This is met with harsh criticism from fans. Unfazed, Ted encourages his team to embrace change and believe in themselves. The team works together and manages to break the 2–2 tie to win the match. Ted, Beard, and Nate rejoice with the team. Later that evening, Ted tells Michelle that she does not need to try for his sake to make their marriage work, bidding her and their son farewell."
S01E06,0.596061,0.601037,0.08796,0.069316,0.10679,"Ted struggles emotionally with the end of his marriage, but is buoyed by Richmond's first win. The press continues to treat Rebecca badly, calling her ""Old Rebecca"" after Bex, whose full name is also Rebecca, begins dating Rupert, and Jamie and Ted continue to clash over his role with the team. Jamie sees his power weaken when Dani Rojas, a new, enthusiastic player who is just as good as Jamie, joins the team. The two form a rivalry, but Dani gets mysteriously injured, and Ted learns of ghosts haunting the team's treatment room. Ted makes the team sacrifice something special to them to lift the curse, and even Jamie joins in, after inspirational words from Keeley. The next morning, Ted discovers that Jamie has been returned to Manchester City, who had loaned Jamie to AFC Richmond for the season. Dani tries to cheer him up, but nothing happens. Rebecca works to derail the team."
S01E07,0.508532,0.564143,0.100876,0.074645,0.089526,"AFC Richmond travels to Liverpool for its game against rivals Everton, which they have been unable to beat for the last sixty years. The game is being held on the weekend of Rebecca and Rupert's wedding anniversary, so Keeley tags along to cheer Rebecca up. They meet Rebecca's old friend Flo ""Sassy"" Collins, who immediately takes a liking to Ted. That night, Ted, reluctant to sign the divorce papers, gets drunk and snaps at Nate. The next morning, Ted apologizes and asks Nate to share some of his ideas. Nate gives the team an inspiring, if insulting, pre-game speech, and they win the game. That evening, the team goes out to celebrate at a karaoke bar, where Rebecca reveals her beautiful voice. Ted tries to enjoy the evening, but suffers a panic attack and stumbles out of the building, where Rebecca finds and comforts him. Ted retreats to his hotel room, where he is visited by Sassy. Roy kisses Keeley, then leaves abruptly."
S01E08,0.598749,0.594325,0.099132,0.074979,0.071274,"Ted talks about his troubles concerning Sassy with Beard, Nate, and Higgins, and he nicknames the group the ""Diamond Dogs"". Keeley talks with Roy and asks him to go out for coffee, which he declines due to being busy. Later that night, Jamie visits Keeley and she asks him to stay. Keeley later admits to Roy that she slept with Jamie, and Roy talks to Ted, who enlists the help of the Diamond Dogs. They help Roy see another perspective, and he goes off with Keeley. Ted thanks Rebecca for her help during his first panic attack and offers to help her when she meets other team owners later that afternoon at a pub. There, Rebecca is blindsided by Rupert, who threatens to come to each game and criticize her handling of the team. In response, Ted makes a wager with Rupert over a game of darts. Ted wins, much to Rebecca's delight. On their way to dinner, Keeley and Roy's kiss is caught on camera by a paparazzi, but Roy forcefully takes the paparazzi's memory card. The next morning in Rebecca's office, Higgins implores her to stop ruining the team and quits. Keeley then storms into the office, having realized Rebecca's plan after finding the picture of her and Ted that was meant to appear in The Sun on the camera card. She threatens to tell Ted if Rebecca does not do it first."
S01E09,0.551239,0.574624,0.102655,0.096123,0.123162,"Ted talks about his troubles concerning Sassy with Beard, Nate, and Higgins, and he nicknames the group the ""Diamond Dogs"". Keeley talks with Roy and asks him to go out for coffee, which he declines due to being busy. Later that night, Jamie visits Keeley and she asks him to stay. Keeley later admits to Roy that she slept with Jamie, and Roy talks to Ted, who enlists the help of the Diamond Dogs. They help Roy see another perspective, and he goes off with Keeley. Ted thanks Rebecca for her help during his first panic attack and offers to help her when she meets other team owners later that afternoon at a pub. There, Rebecca is blindsided by Rupert, who threatens to come to each game and criticize her handling of the team. In response, Ted makes a wager with Rupert over a game of darts. Ted wins, much to Rebecca's delight. On their way to dinner, Keeley and Roy's kiss is caught on camera by a paparazzi, but Roy forcefully takes the paparazzi's memory card. The next morning in Rebecca's office, Higgins implores her to stop ruining the team and quits. Keeley then storms into the office, having realized Rebecca's plan after finding the picture of her and Ted that was meant to appear in The Sun on the camera card. She threatens to tell Ted if Rebecca does not do it first."
S01E10,0.137584,0.525263,0.116109,0.078401,0.09863,"Nate is promoted to coach, and he shows an inspirational video interview of Jamie, but after Jamie insults the team, they don't watch it. Rebecca inspires Ted to cause chaos on the pitch and confuse the other team. Manchester City takes the lead of 1-0 in the second half, but Richmond pulls a trick play set-piece and scores to tie up the match; however, it is hopeless as Jamie makes an extra pass to a teammate who scores and wins the game for Manchester City. Heartbroken by the result and relegation, Ted attempts to cheer everyone up with some advice he offered Sam earlier in the season, and that together they will get through it. Coach Beard brings Jamie an envelope from Ted with a letter congratulating him for the extra pass and a toy soldier to look after him, having seen his father berate him for not scoring. Meeting with Rebecca the next morning, Ted attempts to resign, but she rebuffs him; instead, together they decide to win promotion next season, and then to win the Premier League once they are back."
